Unnamed: 0,Organization Full Name,Organization Class,Responsible Party,Brief Title,Full Title,Overall Status_ph2,Start Date,Standard Age,Conditions,Primary Purpose,Interventions,Intervention Description,Study Type,Phases,Outcome Measure,Medical Subject Headings,Phases_clean,Interventions_clean,Overall Status_ph3,label_success
459007,University of Southern California,OTHER,SPONSOR,Study of Gemcitabine and Concurrent Radiation Followed by Adjuvant Hysterectomy in Bulky Stage Ib and IIa Cervical Carcinoma,Phase I/II Study of Gemcitabine and Concurrent Radiation Followed by Adjuvant Hysterectomy in Bulky Stage Ib and IIa Cervical Carcinoma: Analysis of Prognostic Factors and Determinants of Response: A Pilot Study,COMPLETED,1999-06,ADULT OLDER_ADULT,Uterine Cervical Cancer,TREATMENT,Gemcitabine,Gemcitabine weekly x 6 wks with concurrent external radiation,INTERVENTIONAL,"PHASE1, PHASE2",Toxicity (Number of Participants With Serious Adverse Events),Carcinoma Uterine Cervical Neoplasms,"PHASE1, PHASE2",gemcitabine,COMPLETED,1
459007,University of Southern California,OTHER,SPONSOR,Study of Gemcitabine and Concurrent Radiation Followed by Adjuvant Hysterectomy in Bulky Stage Ib and IIa Cervical Carcinoma,Phase I/II Study of Gemcitabine and Concurrent Radiation Followed by Adjuvant Hysterectomy in Bulky Stage Ib and IIa Cervical Carcinoma: Analysis of Prognostic Factors and Determinants of Response: A Pilot Study,COMPLETED,1999-06,ADULT OLDER_ADULT,Uterine Cervical Cancer,TREATMENT,Gemcitabine,Gemcitabine weekly x 6 wks with concurrent external radiation,INTERVENTIONAL,"PHASE1, PHASE2",Toxicity (Number of Participants With Serious Adverse Events),Carcinoma Uterine Cervical Neoplasms,"PHASE1, PHASE2",gemcitabine,UNKNOWN,0
459275,"University of California, San Francisco",OTHER,PRINCIPAL_INVESTIGATOR,Gallium-68 PSMA-11 PET in Intermediate to High-risk Preprostatectomy Patients,Gallium-68 PSMA-11 PET in Intermediate to High-risk Preprostatectomy Patients,COMPLETED,2016-09-23,ADULT OLDER_ADULT,Prostate Cancer,DIAGNOSTIC,Ga-68 labeled PSMA-11 PET,Patients will be imaged using Ga-68 labeled PSMA-11 PET to determine if the presence of metastatic disease. Prostate Specific Membrane Antigen (PSMA) is a protein expressed on prostate cancer cells that can be imaged using small molecules that target this protocol.,INTERVENTIONAL,"PHASE2, PHASE3",Sensitivity of PSMA PET for the Detection of Regional Nodal Metastases Compared to Pathology at Radical Prostatectomy Specificity of of PSMA PET for the Detection of Regional Nodal Metastases Compared to Pathology at Radical Prostatectomy Positive Predictive Value (PPV) of of PSMA PET for the Detection of Regional Nodal Metastases Compared to Pathology at Radical Prostatectomy Negative Predictive Value (NPV) of PSMA PET for the Detection of Regional Nodal Metastases Compared to Pathology at Radical Prostatectomy,Prostatic Neoplasms,"PHASE2, PHASE3",ga-68 labeled psma-11 pet,COMPLETED,1
459679,"Daehwa Pharmaceutical Co., Ltd.",INDUSTRY,SPONSOR,"A Study DHP107, a Novel Oral Paclitaxel Formulation, in Patients With Advanced Solid Tumours or Gastric Cancer","A Study of DHP107, a Novel Oral Paclitaxel Formulation, to Determine Maximum Tolerated Dose and Recommended Dose for Phase II Trial in Patients With Advanced Solid Cancer",COMPLETED,2010-08,ADULT OLDER_ADULT,"Solid Tumor, Stage IV Gastric Cancer",TREATMENT,Paclitaxel,"Oral administration on day 1,8,15 of 4-week cycle until progression, unacceptable toxicity or withdrawal of informed consent.",INTERVENTIONAL,"PHASE1, PHASE2",Number of participants with dose limiting toxicity(DLT) to determine maximum tolerated dose(MTD),Stomach Neoplasms,"PHASE1, PHASE2",paclitaxel,UNKNOWN,0
459679,"Daehwa Pharmaceutical Co., Ltd.",INDUSTRY,SPONSOR,"A Study DHP107, a Novel Oral Paclitaxel Formulation, in Patients With Advanced Solid Tumours or Gastric Cancer","A Study of DHP107, a Novel Oral Paclitaxel Formulation, to Determine Maximum Tolerated Dose and Recommended Dose for Phase II Trial in Patients With Advanced Solid Cancer",COMPLETED,2010-08,ADULT OLDER_ADULT,"Solid Tumor, Stage IV Gastric Cancer",TREATMENT,Paclitaxel,"Oral administration on day 1,8,15 of 4-week cycle until progression, unacceptable toxicity or withdrawal of informed consent.",INTERVENTIONAL,"PHASE1, PHASE2",Number of participants with dose limiting toxicity(DLT) to determine maximum tolerated dose(MTD),Stomach Neoplasms,"PHASE1, PHASE2",paclitaxel,COMPLETED,1
459770,Fudan University,OTHER,PRINCIPAL_INVESTIGATOR,Efficacy and Safety of Apatinib for Recurrent or Metastatic Esophageal Squamous Cell Carcinoma,"Efficacy and Safety of Apatinib for Recurrent or Metastatic Esophageal Squamous Cell Carcinoma: A Phase II, Prospective, Single-arm, Multicenter Trial",COMPLETED,2017-07-01,ADULT OLDER_ADULT,Esophageal Neoplasms,TREATMENT,Apatinib,"Apatinib is a small-molecule tyrosine kinase inhibitor (TKI) that highly selectively binds to and strongly inhibits vascular en-dothelial growth factor receptor 2 (VEGFR-2), with a decrease in VEGF-mediated endothelial cell migration, proliferation, and tumor microvascular density. Previous data showed that apatinib treatment significantly improved OS and PFS with an acceptable safety profile in patients with advanced gastric cancer refractory to two or more lines of prior chemotherapy. Our study will observe the efficacy and safety of Apatinib for recurrent or metastatic esophageal squamous cell carcinoma: A phase II, prospective, single-arm, multicenter trial.",INTERVENTIONAL,PHASE2,Progression Free Survival,"Carcinoma, Squamous Cell Esophageal Squamous Cell Carcinoma Esophageal Neoplasms",PHASE2,apatinib,UNKNOWN,0
459770,Fudan University,OTHER,PRINCIPAL_INVESTIGATOR,Efficacy and Safety of Apatinib for Recurrent or Metastatic Esophageal Squamous Cell Carcinoma,"Efficacy and Safety of Apatinib for Recurrent or Metastatic Esophageal Squamous Cell Carcinoma: A Phase II, Prospective, Single-arm, Multicenter Trial",COMPLETED,2017-07-01,ADULT OLDER_ADULT,Esophageal Neoplasms,TREATMENT,Apatinib,"Apatinib is a small-molecule tyrosine kinase inhibitor (TKI) that highly selectively binds to and strongly inhibits vascular en-dothelial growth factor receptor 2 (VEGFR-2), with a decrease in VEGF-mediated endothelial cell migration, proliferation, and tumor microvascular density. Previous data showed that apatinib treatment significantly improved OS and PFS with an acceptable safety profile in patients with advanced gastric cancer refractory to two or more lines of prior chemotherapy. Our study will observe the efficacy and safety of Apatinib for recurrent or metastatic esophageal squamous cell carcinoma: A phase II, prospective, single-arm, multicenter trial.",INTERVENTIONAL,PHASE2,Progression Free Survival,"Carcinoma, Squamous Cell Esophageal Squamous Cell Carcinoma Esophageal Neoplasms",PHASE2,apatinib,UNKNOWN,0
459770,Fudan University,OTHER,PRINCIPAL_INVESTIGATOR,Efficacy and Safety of Apatinib for Recurrent or Metastatic Esophageal Squamous Cell Carcinoma,"Efficacy and Safety of Apatinib for Recurrent or Metastatic Esophageal Squamous Cell Carcinoma: A Phase II, Prospective, Single-arm, Multicenter Trial",COMPLETED,2017-07-01,ADULT OLDER_ADULT,Esophageal Neoplasms,TREATMENT,Apatinib,"Apatinib is a small-molecule tyrosine kinase inhibitor (TKI) that highly selectively binds to and strongly inhibits vascular en-dothelial growth factor receptor 2 (VEGFR-2), with a decrease in VEGF-mediated endothelial cell migration, proliferation, and tumor microvascular density. Previous data showed that apatinib treatment significantly improved OS and PFS with an acceptable safety profile in patients with advanced gastric cancer refractory to two or more lines of prior chemotherapy. Our study will observe the efficacy and safety of Apatinib for recurrent or metastatic esophageal squamous cell carcinoma: A phase II, prospective, single-arm, multicenter trial.",INTERVENTIONAL,PHASE2,Progression Free Survival,"Carcinoma, Squamous Cell Esophageal Squamous Cell Carcinoma Esophageal Neoplasms",PHASE2,apatinib,UNKNOWN,0
459770,Fudan University,OTHER,PRINCIPAL_INVESTIGATOR,Efficacy and Safety of Apatinib for Recurrent or Metastatic Esophageal Squamous Cell Carcinoma,"Efficacy and Safety of Apatinib for Recurrent or Metastatic Esophageal Squamous Cell Carcinoma: A Phase II, Prospective, Single-arm, Multicenter Trial",COMPLETED,2017-07-01,ADULT OLDER_ADULT,Esophageal Neoplasms,TREATMENT,Apatinib,"Apatinib is a small-molecule tyrosine kinase inhibitor (TKI) that highly selectively binds to and strongly inhibits vascular en-dothelial growth factor receptor 2 (VEGFR-2), with a decrease in VEGF-mediated endothelial cell migration, proliferation, and tumor microvascular density. Previous data showed that apatinib treatment significantly improved OS and PFS with an acceptable safety profile in patients with advanced gastric cancer refractory to two or more lines of prior chemotherapy. Our study will observe the efficacy and safety of Apatinib for recurrent or metastatic esophageal squamous cell carcinoma: A phase II, prospective, single-arm, multicenter trial.",INTERVENTIONAL,PHASE2,Progression Free Survival,"Carcinoma, Squamous Cell Esophageal Squamous Cell Carcinoma Esophageal Neoplasms",PHASE2,apatinib,UNKNOWN,0
459770,Fudan University,OTHER,PRINCIPAL_INVESTIGATOR,Efficacy and Safety of Apatinib for Recurrent or Metastatic Esophageal Squamous Cell Carcinoma,"Efficacy and Safety of Apatinib for Recurrent or Metastatic Esophageal Squamous Cell Carcinoma: A Phase II, Prospective, Single-arm, Multicenter Trial",COMPLETED,2017-07-01,ADULT OLDER_ADULT,Esophageal Neoplasms,TREATMENT,Apatinib,"Apatinib is a small-molecule tyrosine kinase inhibitor (TKI) that highly selectively binds to and strongly inhibits vascular en-dothelial growth factor receptor 2 (VEGFR-2), with a decrease in VEGF-mediated endothelial cell migration, proliferation, and tumor microvascular density. Previous data showed that apatinib treatment significantly improved OS and PFS with an acceptable safety profile in patients with advanced gastric cancer refractory to two or more lines of prior chemotherapy. Our study will observe the efficacy and safety of Apatinib for recurrent or metastatic esophageal squamous cell carcinoma: A phase II, prospective, single-arm, multicenter trial.",INTERVENTIONAL,PHASE2,Progression Free Survival,"Carcinoma, Squamous Cell Esophageal Squamous Cell Carcinoma Esophageal Neoplasms",PHASE2,apatinib,COMPLETED,1
460067,Hoffmann-La Roche,INDUSTRY,SPONSOR,A Study of Tarceva (Erlotinib) and Gemcitabine in Treatment-Naive Patients With Advanced Non-Small Cell Lung Cancer.,"A Randomized, Open Label Study Comparing the Effect of First-line Therapy With Tarceva + Gemcitabine Versus Gemcitabine Monotherapy on Treatment Response in Treatment-naïve Patients With Advanced Non-small Cell Lung Cancer",COMPLETED,2007-08,ADULT OLDER_ADULT,Non-Squamous Non-Small Cell Lung Cancer,TREATMENT,"Erlotinib, Gemcitabine","150 mg po daily, As prescribed",INTERVENTIONAL,PHASE2,Progression Free Survival,"Lung Neoplasms Carcinoma, Non-Small-Cell Lung",PHASE2,"erlotinib, gemcitabine",COMPLETED,1
460238,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),OTHER,PRINCIPAL_INVESTIGATOR,"Feasibility Study of Chemoradiation, TRAstuzumab and Pertuzumab in Resectable HER2+ Esophageal Carcinoma","Feasibility Study of Chemoradiation, TRAstuzumab and Pertuzumab in Resectable HER2+Esophageal Carcinoma: the TRAP Study",COMPLETED,2014-01,ADULT OLDER_ADULT,Esophageal Carcinoma,TREATMENT,"Pertuzumab, trastuzumab",Pertuzumab and trastuzumab will be combined with standard chemoradiation with carboplatin and paclitaxel.,INTERVENTIONAL,"PHASE1, PHASE2",% of patients completing trastuzumab and pertuzumab treatment.,Carcinoma Esophageal Neoplasms,"PHASE1, PHASE2","pertuzumab, trastuzumab",ACTIVE_NOT_RECRUITING,0
460338,SWOG Cancer Research Network,NETWORK,SPONSOR,S9903: Whole Brain Radiotherapy Followed By Stereotactic Radiosurgery for Limited Malignant Melanoma Brain Metastases,A Phase II Pilot Study of Stereotactic Radiosurgery for Limited Malignant Melanoma Brain Metastases,TERMINATED,1999-07,CHILD ADULT OLDER_ADULT,"Melanoma (Skin), Metastatic Cancer",TREATMENT,stereotactic radiosurgery,Unknown,INTERVENTIONAL,PHASE2,Unknown,Melanoma Brain Neoplasms,PHASE2,stereotactic radiosurgery,ACTIVE_NOT_RECRUITING,0
460338,SWOG Cancer Research Network,NETWORK,SPONSOR,S9903: Whole Brain Radiotherapy Followed By Stereotactic Radiosurgery for Limited Malignant Melanoma Brain Metastases,A Phase II Pilot Study of Stereotactic Radiosurgery for Limited Malignant Melanoma Brain Metastases,TERMINATED,1999-07,CHILD ADULT OLDER_ADULT,"Melanoma (Skin), Metastatic Cancer",TREATMENT,stereotactic radiosurgery,Unknown,INTERVENTIONAL,PHASE2,Unknown,Melanoma Brain Neoplasms,PHASE2,stereotactic radiosurgery,RECRUITING,0
460348,"Betta Pharmaceuticals Co., Ltd.",INDUSTRY,SPONSOR,Efficiency of Icotinib in Plasma ctDNA EGFR Mutation-positive Patients Diagnosed With Lung Cancer,Efficiency of Icotinib in Plasma ctDNA EGFR Mutation-positive Patients Diagnosed With Lung Cancer：a Single Arm，Multi-center，Open-label Study,UNKNOWN,2017-11-18,ADULT OLDER_ADULT,Plasma EGFR Mutation-positive Lung Cancer,TREATMENT,Icotinib,"Patients with plasma EGFR mutation-positive are arranged to receive icotinib with a dose of 125 mg three times per day, till progressive disease or unaccepted toxicity",INTERVENTIONAL,PHASE2,ORR,Lung Neoplasms,PHASE2,icotinib,RECRUITING,0
460497,Eli Lilly and Company,INDUSTRY,Unknown,Intravesical Gemcitabine Instillation Followed by Transurethral Resection for the Treatment of Patients With Superficial Bladder Cancer at Low Risk.,Phase II Study of 6 Weeks Intravesical Gemcitabine Instillation Followed By Transurethral Resection in Patients Affected By Superficial Bladder Cancer at Low Risk,COMPLETED,2004-02,ADULT OLDER_ADULT,Superficial Bladder Cancer,TREATMENT,Gemcitabine,Unknown,INTERVENTIONAL,PHASE2,"To evaluate pathological complete response rate achieved by 6 week neoadjuvant intravesical administration of Gemcitabine followed by transurethral resection (TUR) or cold biopsies, in patients affected by low risk superficial bladder cancer .",Urinary Bladder Neoplasms,PHASE2,gemcitabine,COMPLETED,1
460497,Eli Lilly and Company,INDUSTRY,Unknown,Intravesical Gemcitabine Instillation Followed by Transurethral Resection for the Treatment of Patients With Superficial Bladder Cancer at Low Risk.,Phase II Study of 6 Weeks Intravesical Gemcitabine Instillation Followed By Transurethral Resection in Patients Affected By Superficial Bladder Cancer at Low Risk,COMPLETED,2004-02,ADULT OLDER_ADULT,Superficial Bladder Cancer,TREATMENT,Gemcitabine,Unknown,INTERVENTIONAL,PHASE2,"To evaluate pathological complete response rate achieved by 6 week neoadjuvant intravesical administration of Gemcitabine followed by transurethral resection (TUR) or cold biopsies, in patients affected by low risk superficial bladder cancer .",Urinary Bladder Neoplasms,PHASE2,gemcitabine,UNKNOWN,0
460822,National Cancer Institute (NCI),NIH,Unknown,Radiation Therapy Followed By Combination Chemotherapy in Treating Young Patients With Supratentorial Primitive Neuroectodermal Tumors,"Hyperfractionated Accelerated Radiotherapy (HART) With Chemotherapy (Cisplatin, CCNU, Vincristine) for Non-Pineal Supratentorial Primitive Neuroectodermal Tumours",UNKNOWN,2004-02,CHILD ADULT,Brain and Central Nervous System Tumors,TREATMENT,"cisplatin, lomustine, vincristine sulfate, adjuvant therapy, radiation therapy","Unknown, Unknown, Unknown, Unknown, Unknown",INTERVENTIONAL,PHASE2,"Toxicity measured by hematological, gastrointestinal, mucosal, neurological, and skin morbidity during treatment and for 6 weeks after completion of treatment","Nervous System Neoplasms Central Nervous System Neoplasms Neuroectodermal Tumors Neuroectodermal Tumors, Primitive",PHASE2,"cisplatin, lomustine, vincristine sulfate, adjuvant therapy, radiation therapy",UNKNOWN,0
462061,Peking University People's Hospital,OTHER,PRINCIPAL_INVESTIGATOR,Chemotherapy and DLI for Prevention of Second Relapse in Patients With Relapsed Acute Leukemia After Allotransplant,Multiple Consolidation Chemotherapy and DLI Prevent Second Relapse in Patients With Relapsed Acute Leukemia After Allotransplant and Achieving Complete Remission After Induction Chemotherapy and DLI,UNKNOWN,2017-03-01,CHILD ADULT,"Donor Lymphocyte Infusion, Allogeneic Hematopoietic Stem Cell Transplantation, Acute Leukemia, Minimal Residual Disease, Graft-versus-host Disease, Relapse",PREVENTION,donor lymphocyte infusion,"Participants in study group receive chemotherapy and donor lymphocyte infusion based on the state of GvHD, even they have a negative result of MRD. If participants in study group have no GvHD, they will receive chemotherapy and donor lymphocyte infusion until they develop GvHD. If the participants in study group have GvHD, they will be observed. But, the participants in control group don't receive chemotherapy and donor lymphocyte infusion as long as they have a negative result of MRD, in despite of whether or not GvHD.",INTERVENTIONAL,PHASE2,Number of participants with a positive results of minimal residual disease that is evaluated by testing aberrant leukemia-associated immune phenotypes and WT1 mRNA levels.,"Leukemia Neoplasm, Residual Graft vs Host Disease Recurrence Acute Disease",PHASE2,donor lymphocyte infusion,COMPLETED,1
462282,GOG Foundation,NETWORK,Unknown,Gemcitabine Plus Cisplatin in Treating Patients With Ovarian Epithelial Cancer or Primary Peritoneal Cancer That Is Recurrent or Has Not Responded to Platinum-based Chemotherapy,"Evaluation of Gemcitabine and Cisplatin in Recurrent, Platinum Resistant and Refractory Ovarian Cancer",COMPLETED,2001-01,CHILD ADULT OLDER_ADULT,"Ovarian Cancer, Primary Peritoneal Cavity Cancer",TREATMENT,"cisplatin, gemcitabine hydrochloride","Unknown, Unknown",INTERVENTIONAL,PHASE2,Unknown,"Ovarian Neoplasms Carcinoma, Ovarian Epithelial",PHASE2,"cisplatin, gemcitabine hydrochloride",COMPLETED,1
462416,Aarhus University Hospital,OTHER,SPONSOR_INVESTIGATOR,Treatment Of Metastatic Bladder Cancer at the Time Of Biochemical reLApse Following Radical Cystectomy,Treatment Of Metastatic Bladder Cancer at the Time Of Biochemical reLApse Following Radical Cystectomy,RECRUITING,2020-03-24,ADULT OLDER_ADULT,"Bladder Cancer, Bladder Cancer, Metastatic",DIAGNOSTIC,Atezolizumab,The study drug will be given according to current recommendations as systemic treatment every third week for 12 months or until progression. Treatment will be initiated within 28 days of detection of ctDNA.,INTERVENTIONAL,PHASE2,Complete response (CR) after treatment with investigational agent initiated by ctDNA positive status after radical cystectomy (with or without concomitant visible metastases on CT).,Urinary Bladder Neoplasms,PHASE2,atezolizumab,RECRUITING,0
462416,Aarhus University Hospital,OTHER,SPONSOR_INVESTIGATOR,Treatment Of Metastatic Bladder Cancer at the Time Of Biochemical reLApse Following Radical Cystectomy,Treatment Of Metastatic Bladder Cancer at the Time Of Biochemical reLApse Following Radical Cystectomy,RECRUITING,2020-03-24,ADULT OLDER_ADULT,"Bladder Cancer, Bladder Cancer, Metastatic",DIAGNOSTIC,Atezolizumab,The study drug will be given according to current recommendations as systemic treatment every third week for 12 months or until progression. Treatment will be initiated within 28 days of detection of ctDNA.,INTERVENTIONAL,PHASE2,Complete response (CR) after treatment with investigational agent initiated by ctDNA positive status after radical cystectomy (with or without concomitant visible metastases on CT).,Urinary Bladder Neoplasms,PHASE2,atezolizumab,RECRUITING,0
462416,Aarhus University Hospital,OTHER,SPONSOR_INVESTIGATOR,Treatment Of Metastatic Bladder Cancer at the Time Of Biochemical reLApse Following Radical Cystectomy,Treatment Of Metastatic Bladder Cancer at the Time Of Biochemical reLApse Following Radical Cystectomy,RECRUITING,2020-03-24,ADULT OLDER_ADULT,"Bladder Cancer, Bladder Cancer, Metastatic",DIAGNOSTIC,Atezolizumab,The study drug will be given according to current recommendations as systemic treatment every third week for 12 months or until progression. Treatment will be initiated within 28 days of detection of ctDNA.,INTERVENTIONAL,PHASE2,Complete response (CR) after treatment with investigational agent initiated by ctDNA positive status after radical cystectomy (with or without concomitant visible metastases on CT).,Urinary Bladder Neoplasms,PHASE2,atezolizumab,COMPLETED,1
462416,Aarhus University Hospital,OTHER,SPONSOR_INVESTIGATOR,Treatment Of Metastatic Bladder Cancer at the Time Of Biochemical reLApse Following Radical Cystectomy,Treatment Of Metastatic Bladder Cancer at the Time Of Biochemical reLApse Following Radical Cystectomy,RECRUITING,2020-03-24,ADULT OLDER_ADULT,"Bladder Cancer, Bladder Cancer, Metastatic",DIAGNOSTIC,Atezolizumab,The study drug will be given according to current recommendations as systemic treatment every third week for 12 months or until progression. Treatment will be initiated within 28 days of detection of ctDNA.,INTERVENTIONAL,PHASE2,Complete response (CR) after treatment with investigational agent initiated by ctDNA positive status after radical cystectomy (with or without concomitant visible metastases on CT).,Urinary Bladder Neoplasms,PHASE2,atezolizumab,COMPLETED,1
462672,Shanghai Jiao Tong University School of Medicine,OTHER,PRINCIPAL_INVESTIGATOR,Randomized Study of Velcade-based Regimen With Autologous Stem Cell Transplantation in Newly-diagnosed Myeloma Patients,A Randomized Study of 4 vs. 8 Cycles of Velcade-based Regimen With Autologous Stem Cell Transplantation in Newly-diagnosed Myeloma Patients,TERMINATED,2009-08,ADULT OLDER_ADULT,Multiple Myeloma,TREATMENT,velcade,"velcade 1.3mg/m2 D1, 4, 8 and 11",INTERVENTIONAL,"PHASE2, PHASE3",Response rate,"Multiple Myeloma Neoplasms, Plasma Cell","PHASE2, PHASE3",velcade,COMPLETED,1
462672,Shanghai Jiao Tong University School of Medicine,OTHER,PRINCIPAL_INVESTIGATOR,Randomized Study of Velcade-based Regimen With Autologous Stem Cell Transplantation in Newly-diagnosed Myeloma Patients,A Randomized Study of 4 vs. 8 Cycles of Velcade-based Regimen With Autologous Stem Cell Transplantation in Newly-diagnosed Myeloma Patients,TERMINATED,2009-08,ADULT OLDER_ADULT,Multiple Myeloma,TREATMENT,velcade,"velcade 1.3mg/m2 D1, 4, 8 and 11",INTERVENTIONAL,"PHASE2, PHASE3",Response rate,"Multiple Myeloma Neoplasms, Plasma Cell","PHASE2, PHASE3",velcade,TERMINATED,0
462705,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",OTHER,PRINCIPAL_INVESTIGATOR,Compare Apatinib Plus Capecitabine Versus Capecitabine in Maintenance Therapy for Patients With Advanced Triple-negative Breast Cancer,Phase Ⅱ Study of Compare Apatinib Plus Capecitabine Versus Capecitabine in Maintenance Therapy for Patients With Advanced Triple-negative Breast Cancer,UNKNOWN,2018-12-18,ADULT OLDER_ADULT,Triple-negative Breast Cancer,TREATMENT,"Apatinib, capecitabine","apatinib 425mg qd po, capecitabine 1000mg/m2 bid d1-d14",INTERVENTIONAL,PHASE2,progression-free survival,Breast Neoplasms Triple Negative Breast Neoplasms,PHASE2,"apatinib, capecitabine",UNKNOWN,0
462789,Celgene,INDUSTRY,SPONSOR,Open-label Extended Access Program on Lenalidomide Plus Dexamethasone in Chinese Subjects With Relapsed/Refractory Multiple Myeloma Who Participated in CC-5013-MM021 for at Least 1 Year,"A Multi-center, Open-label Extended Access Program of Lenalidomide Plus Low-dose Dexamethasone in Chinese Subjects With Relapsed/Refactory Multiple Myeloma Who Participated in Study CC-5013-MM-021 for at Least One Year.",COMPLETED,2012-09-11,ADULT OLDER_ADULT,Multiple Myeloma,TREATMENT,"Lenalidomide, Dexamethasone","Unknown, Unknown",INTERVENTIONAL,PHASE2,Adverse Events (AEs),"Multiple Myeloma Neoplasms, Plasma Cell",PHASE2,"lenalidomide, dexamethasone",COMPLETED,1
462789,Celgene,INDUSTRY,SPONSOR,Open-label Extended Access Program on Lenalidomide Plus Dexamethasone in Chinese Subjects With Relapsed/Refractory Multiple Myeloma Who Participated in CC-5013-MM021 for at Least 1 Year,"A Multi-center, Open-label Extended Access Program of Lenalidomide Plus Low-dose Dexamethasone in Chinese Subjects With Relapsed/Refactory Multiple Myeloma Who Participated in Study CC-5013-MM-021 for at Least One Year.",COMPLETED,2012-09-11,ADULT OLDER_ADULT,Multiple Myeloma,TREATMENT,"Lenalidomide, Dexamethasone","Unknown, Unknown",INTERVENTIONAL,PHASE2,Adverse Events (AEs),"Multiple Myeloma Neoplasms, Plasma Cell",PHASE2,"lenalidomide, dexamethasone",COMPLETED,1
462789,Celgene,INDUSTRY,SPONSOR,Open-label Extended Access Program on Lenalidomide Plus Dexamethasone in Chinese Subjects With Relapsed/Refractory Multiple Myeloma Who Participated in CC-5013-MM021 for at Least 1 Year,"A Multi-center, Open-label Extended Access Program of Lenalidomide Plus Low-dose Dexamethasone in Chinese Subjects With Relapsed/Refactory Multiple Myeloma Who Participated in Study CC-5013-MM-021 for at Least One Year.",COMPLETED,2012-09-11,ADULT OLDER_ADULT,Multiple Myeloma,TREATMENT,"Lenalidomide, Dexamethasone","Unknown, Unknown",INTERVENTIONAL,PHASE2,Adverse Events (AEs),"Multiple Myeloma Neoplasms, Plasma Cell",PHASE2,"lenalidomide, dexamethasone",ACTIVE_NOT_RECRUITING,0
462789,Celgene,INDUSTRY,SPONSOR,Open-label Extended Access Program on Lenalidomide Plus Dexamethasone in Chinese Subjects With Relapsed/Refractory Multiple Myeloma Who Participated in CC-5013-MM021 for at Least 1 Year,"A Multi-center, Open-label Extended Access Program of Lenalidomide Plus Low-dose Dexamethasone in Chinese Subjects With Relapsed/Refactory Multiple Myeloma Who Participated in Study CC-5013-MM-021 for at Least One Year.",COMPLETED,2012-09-11,ADULT OLDER_ADULT,Multiple Myeloma,TREATMENT,"Lenalidomide, Dexamethasone","Unknown, Unknown",INTERVENTIONAL,PHASE2,Adverse Events (AEs),"Multiple Myeloma Neoplasms, Plasma Cell",PHASE2,"lenalidomide, dexamethasone",COMPLETED,1
462789,Celgene,INDUSTRY,SPONSOR,Open-label Extended Access Program on Lenalidomide Plus Dexamethasone in Chinese Subjects With Relapsed/Refractory Multiple Myeloma Who Participated in CC-5013-MM021 for at Least 1 Year,"A Multi-center, Open-label Extended Access Program of Lenalidomide Plus Low-dose Dexamethasone in Chinese Subjects With Relapsed/Refactory Multiple Myeloma Who Participated in Study CC-5013-MM-021 for at Least One Year.",COMPLETED,2012-09-11,ADULT OLDER_ADULT,Multiple Myeloma,TREATMENT,"Lenalidomide, Dexamethasone","Unknown, Unknown",INTERVENTIONAL,PHASE2,Adverse Events (AEs),"Multiple Myeloma Neoplasms, Plasma Cell",PHASE2,"lenalidomide, dexamethasone",COMPLETED,1
462988,Taizhou Hospital,OTHER,PRINCIPAL_INVESTIGATOR,Adjuvant Chemotherapy and Anti-PD-1 Antibody in Patients With Stage IIIC2-IVB Cervical Cancer,A Safety and Efficacy Study of Neoadjuvant Chemotherapy Combined With CCRT Followed by Adjuvant Chemotherapy and Anti-PD-1 Antibody in Patients With Stage IIIC2-IVB Cervical Cancer,RECRUITING,2021-05-01,ADULT OLDER_ADULT,Cervical Cancer,TREATMENT,Sintilimab,A humanized anti-PD-1 monoclonal antibody,INTERVENTIONAL,PHASE2,Number of participants with Grade 3 and Grade 4 Treatment-related adverse events (TRAEs),Uterine Cervical Neoplasms,PHASE2,sintilimab,RECRUITING,0
463567,Ottawa Hospital Research Institute,OTHER,SPONSOR,Effects of Vitamin D in Patients With Breast Cancer,"A Phase 2 Randomized, Double-blind, Window of Opportunity Trial Evaluating Clinical and Correlative Effects of Vitamin D in Patients With Breast Cancer. The ICARUS Trial",COMPLETED,2013-10,ADULT OLDER_ADULT,Breast Cancer,TREATMENT,"Vitamin D3, Placebo","Participants will take 4 capsules of Vitamin D which equals 40,000 IU by mouth daily during the wait time between diagnosis and surgery., Participants will take 4 capsules of placebo by mouth daily during the wait time between diagnosis and surgery.",INTERVENTIONAL,PHASE2,Pre and post vitamin D administration Ki67 levels and Caspase 3 levels (as assessed according to the apoptosis assay),Breast Neoplasms,PHASE2,"vitamin d3, placebo",TERMINATED,0
